"filename", "language", "JavaScript", "Markdown", "JSON", "HTML", "HTTP", "comment", "blank", "total"
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\CreatePlannedWorkout.js", "JavaScript", 142, 0, 0, 0, 0, 2, 16, 160
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\ExerciseCard.js", "JavaScript", 112, 0, 0, 0, 0, 0, 7, 119
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\ExerciseList.js", "JavaScript", 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\FinishPlanning.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\Planner.js", "JavaScript", 69, 0, 0, 0, 0, 0, 7, 76
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\CreatePlannedWorkout\RestTimer.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Logger\FinishWorkoutScreen.js", "JavaScript", 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Logger\Logger.js", "JavaScript", 388, 0, 0, 0, 0, 2, 28, 418
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Logger\LoggerOptions.js", "JavaScript", 78, 0, 0, 0, 0, 0, 4, 82
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Main.js", "JavaScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\MainStack.js", "JavaScript", 92, 0, 0, 0, 0, 0, 8, 100
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Overview\Overview.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Programs\Exercises.js", "JavaScript", 156, 0, 0, 0, 0, 0, 11, 167
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Programs\PlannedWorkouts.js", "JavaScript", 157, 0, 0, 0, 0, 0, 8, 165
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Programs\Programs.js", "JavaScript", 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Programs\ProgramsNavigator.js", "JavaScript", 25, 0, 0, 0, 0, 0, 6, 31
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Screens\ExerciseDetails.js", "JavaScript", 71, 0, 0, 0, 0, 0, 8, 79
"c:\Users\ville\Documents\Aalto\Full_Stack_Project_Gym_Log\gym-log\src\components\Screens\PlannedWorkoutDetails.js", "JavaScript", 195, 0, 0, 0, 0, 0, 10, 205
